ABalpha =;    0.00; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; -1;
ABalpha =;    2.29; ABbetta =;    0.00; BCalpha =;   -6.87; BCbetta =;    0.00; Command =; 49;
